,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
64,spl-bulkmodulus|super-c44,6.720228841110792,25.82734958064614,10.16543427555202,6.191306388196166,9.669763065188786,15.165954855574636
65,spl-bulkmodulus|super-bulkmodulus,9.52263540918186,20.13563741114723,6.617890358688056,7.8640171931107,6.686255801547433,9.742256320090886
66,spl-bulkmodulus|vac-c11,8.140374375743393,16.83334961549431,8.706474578525233,7.384734625843516,2.648117910002782,9.402762849141752
67,spl-bulkmodulus|vac-c12,7.372744750908702,21.10277623436498,8.435843057892374,8.700454187537767,7.076751414528438,17.532339382555897
68,spl-bulkmodulus|vac-c44,5.602782429217139,18.52496761352073,6.21697723691415,6.218796599660378,4.30263752377525,7.74544652735533
69,spl-bulkmodulus|vac-bulkmodulus,16.54156390822657,26.96737215017268,15.636379894675276,14.67690039077531,13.62234992269807,17.89438012756141
70,tet-c11|tet-c12,10.82350317360282,12.900107492695213,10.502257400858635,9.411344508566415,8.934048478959724,9.738524763229996
71,tet-c11|tet-c44,9.099126709148202,14.33491374345486,5.95614026093123,6.154523826868794,5.9759871567894844,8.834582744782395
72,tet-c11|tet-bulkmodulus,13.818485863347837,10.76616339405621,14.136536194610326,13.920030130206651,13.191317421134926,11.966967354779346
73,tet-c11|hex-c11,16.9805497253697,20.83215036816906,16.663828282572855,15.855376636951124,10.717745677740538,17.771205693617986
74,tet-c11|hex-c12,18.782442197145294,15.271171497378164,14.63263397773374,19.59735103397361,11.334235560555712,19.29048872697298
75,tet-c11|hex-c44,10.99069481831074,9.753241191206266,12.210638643924652,14.430234214307552,12.197136297706802,11.725007914186715
76,tet-c11|hex-bulkmodulus,11.739998009092602,6.64033677968764,9.681141022122704,10.712761023407005,9.844881491574151,13.256600627579193
77,tet-c11|super-c11,15.286537178217973,23.122199775353927,16.814528857614985,15.137238543041033,11.314954684291664,11.182417572503915
78,tet-c11|super-c12,13.348149251932346,18.393339493784964,10.66410022604029,14.39660908645437,11.0399647734773,14.95795882402859
79,tet-c11|super-c44,15.984853647975154,28.2199541164534,12.5155249486022,17.586128561841104,13.002604179421798,18.69949719105136
80,tet-c11|super-bulkmodulus,13.55410857391364,20.233142492856587,13.245550131946978,13.897564866567,12.469037794214408,14.755804869833929
81,tet-c11|vac-c11,12.18432085660837,18.21323583740133,12.643088783657683,11.601434958442404,8.382002923128958,16.280277637043334
82,tet-c11|vac-c12,14.03001616391384,22.62661136968712,9.659668644476794,15.817318693178391,9.861617978876138,24.53690419335809
83,tet-c11|vac-c44,11.507803189741344,23.686129933061004,6.190514038506619,11.675241873134755,9.51741958506561,9.168336698848345
84,tet-c11|vac-bulkmodulus,21.829357300522897,27.62123160809599,17.505296989248066,23.679730337495076,19.84985758379212,28.37698560073417
85,tet-c12|tet-c44,5.921725214087968,3.839886086282065,4.536329376146189,4.133760414323048,3.801061888206365,3.910986918959589
86,tet-c12|tet-bulkmodulus,6.625567812567187,3.290026154363613,5.953026853139904,7.440704907608384,5.836199999249557,4.198543785478851
87,tet-c12|hex-c11,5.890407381068501,12.67433256289556,5.387934664909546,2.5665014047158854,4.0102829716066655,7.724617845660109
88,tet-c12|hex-c12,7.783248062356479,7.463744196816091,9.898777843261374,7.742878852713496,9.336029005452744,5.997959836345219
89,tet-c12|hex-c44,3.73194564412434,2.5281994518531943,3.040240560299452,3.8269450334224087,4.61677239742892,6.45748585457368
90,tet-c12|hex-bulkmodulus,3.7922063231029233,2.7863156400108435,3.597746948272605,3.5876350226343723,3.8882128778928737,4.799056712977442
91,tet-c12|super-c11,3.525736016305932,7.721487454652983,4.872337074145246,3.841716007181237,2.5999398303044785,5.90331090737766
92,tet-c12|super-c12,5.709012611651062,16.901114086002753,7.484703073496633,6.766897154256169,6.317700155456613,4.745266921209275
93,tet-c12|super-c44,3.0730562584158845,14.51759694294739,5.786005560708012,2.2686913033921075,5.269900293913835,9.746243888424424
