,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
206,DPPT,19-1,VacEnh,-0.0221796920223936,-0.69460092331439,-3.406039787167355,1.0356660578749588
207,DPPT,158-1,VacEnh,-0.4058601598431765,-1.1880237934128794,-0.3158099570666847,0.1936276148503572
208,DPPT,85-1,VacEnh,-0.0543796099875689,-1.9072052385633669,-0.4001117510195641,0.0164530208439802
209,DPPT,243-1,VacEnh,-0.1077728334663149,-0.2502564233005798,-2.354201386155713,0.1973531873214976
210,DPPT,90-1,VacEnh,-1.403324359727929,0.6178172752368929,-0.7868393083267364,-0.0528586847052271
211,DPPT,193-1,VacEnh,-0.4913179129140966,-0.0959636337362976,-3.699136110859396,0.4043992807528913
212,DPPT,66-1,VacEnh,0.3594578621608356,-3.3775339903581623,0.0047955162686008,0.1264232420913881
213,DPPT,160-1,VacEnh,-0.7467866530326162,0.5329581446963385,-3.12378034087342,-0.0564496583631391
214,DPPT,144-1,VacEnh,0.1227922733620104,-1.401178929417371,-5.894805321495405,0.9340857315926312
215,DPPT,20-1,VacEnh,-0.2376301776767838,-0.69354885646527,-2.975341455054432,1.0377387143818646
216,DPPT,13-1,VacEnh,-0.0212790441699157,-0.1468704903995386,-3.810397965539517,0.5623733741451206
217,DPPT,62-1,VacEnh,0.1207720474639712,-1.7139994033953991,-0.8471872307050297,-0.0007526058594029
218,DPPT,246-1,VacEnh,-1.4292433313764803,0.2437956416179716,-0.45344560240459,-0.2546847195988616
219,DPPT,254-1,VacEnh,-0.15025833089662,-2.859709184423899,-1.852177211109234,0.4397735166134287
220,DPPT,44-1,VacEnh,-2.248190810307777,-0.6468878017499622,-0.7516624098167929,0.9916507689373528
221,MTP,93-13,IntEnh,-1.861224381268881,-1.3027407513473348,-0.927262828079891,-1.4652981253662556
222,MTP,171-13,IntEnh,-2.048070069882844,-1.1799966451980684,-0.9955928680175928,-1.4218138811133172
223,MTP,168-13,IntEnh,-1.887010842783139,-1.262349836131012,-0.9508447285416928,-1.444023743256902
224,MTP,243-13,IntEnh,-1.902199275816132,-1.2716932170969053,-0.9501299117391636,-1.3941657590383392
