,Models,Bulk_E_free,Bulk_heat_capacity,Bulk_entropy,Vacancy_E_free,Vacancy_heat_capacity,Vacancy_entropy,Vacancy_E_f,Split_E_f,Tetrahedral_E_f,Hexagonal_E_f,Vacancy_D_0,Vacancy_E_a,Interstitial_D_0,Interstitial_E_a,Lattice_const_A,C11,C12,C44,Bulk_modulus,Vacancy_RE_Magnitude_ROC,Vacancy_RE_Angle_ROC,Interstitial_RE_Magnitude_ROC,Interstitial_RE_Angle_ROC,Validation_E_RMSE,Validation_F_RMSE,EnhInterstitial_E_RMSE,EnhInterstitial_F_RMSE,EnhVacancy_E_RMSE,EnhVacancy_F_RMSE,Train_E_RMSE,Train_F_RMSE
24,PTI150,0.1745553639398973,-0.1680625627127711,0.2820093819384509,1.208972515596044,1.079159272328047,1.2491053912440495,-0.0230479574926991,-0.2810137951866883,-0.1573169899384742,-0.086306819361076,-0.2291103875511871,-1.0,-0.2754552518520093,-0.7958800173440752,-0.6001357297372332,1.4085970052473316,0.9564800421157532,1.652713443452932,0.3376640477948913,-0.789604509774334,-0.756452315641802,-0.630343968603965,-0.5347348048161453,1.4201307733321478,-0.3507303253847234,1.0299440911739073,-0.7239022316070427,1.0415900096568,-0.6766946149565001,1.4607555311912082,-0.33306951979296
25,GAI287-1,-0.006047978641361,-0.5149007130013388,0.1939769894060987,1.514597186662156,0.9581346267855168,1.706295567547034,-0.051739060695905,-0.1881812667841132,-0.0347312728214989,-0.2156636820651004,-2.322274200347343,-1.5228787452803376,-0.3535556253751951,-0.9208187539523752,0.0813460954598296,1.56791097071459,1.7882652763971083,1.2204699631461906,1.4515420386233844,-1.0826455856870851,-1.0304947305811047,-0.8951157039548084,-0.8517739192660693,0.6634210112034203,-0.9373780600185742,0.5069581077816642,-1.102005273422353,0.590887535245562,-1.0583433987329007,0.817517439150349,-0.947959514410376
26,MDV125,0.7510708172786718,0.8353306044127954,1.145075955628936,2.517596441054851,2.6246950356526195,2.9125440847550896,-1.3002862396604151,0.081948105637925,-0.4396926043073604,0.1269066159392252,-0.0559611067695138,-2.0,-1.7260490659157428,-0.721246399047171,-1.009715648270976,3.997832929918329,4.555221271331075,4.079812893306973,4.049391227581283,-1.3698648091252623,-1.2296019811208587,-0.5881045846991269,-0.5322623347395283,1.1244763422683866,-0.5528498011156514,1.0797082466069017,-0.7468555016302829,0.7615021252827515,-0.9811075185527546,1.075575557124816,-0.5323640449627541
27,GAI279-6,-0.3965839183062765,-0.8529557639770591,-0.15963936997096,1.1889537577837246,0.6179004889291547,1.393835228818049,-0.060155312185366,-0.2005270332459086,-0.0165993155346137,-0.2650300856557514,-1.0038644358626492,-1.5228787452803376,-0.7066247948488127,-1.397940008672038,-1.0844426849639854,0.9973205913783711,1.368538823277329,1.028653660789279,1.2684654755121734,-1.028902156438921,-1.004785662550819,-0.8968536566241341,-0.8431395497418668,0.6767447935014,-0.9186975051566832,0.5612858813327616,-1.0925164097790885,0.6083187031069077,-1.0518888527725574,0.8198815676633625,-0.9259202555945176
28,MDI61,0.9033660174312846,0.887579371688128,1.2501574646468332,2.4434598463900787,2.472562486003071,2.796058976371094,0.1345884711774111,-0.0227860041465255,0.1740632692773562,-1.093077325154208,-0.13427777913931,-0.9208187539523752,-0.7821180744029231,-0.638272163982407,-1.000104570218409,3.385432178415715,3.648368579598428,4.160386989276503,3.161722858302271,-0.8769990830696891,-0.779551576822354,-0.7776362911680076,-0.6728431772001593,1.0945751399402002,-0.6127413253233561,0.8374903740828253,-0.9697666813437829,0.9833993020599034,-0.8400273431614267,1.1638463984574885,-0.5915485502838844
29,GAO283-2,-0.1405716572003403,-0.5519950857406197,-0.0122806747567448,1.1029907964773535,0.7360862142576974,1.0500556541137374,-0.5583538224779283,0.1056179348792248,0.2863551618598955,0.2230277295561191,-1.60097727525927,-2.0,-0.939863541830146,-1.6989700043360183,-0.8142012638062233,-0.3472504645588421,0.3334151124372458,1.2323394159786314,0.2095294486718785,-1.053763145485186,-0.9842269806203844,-0.7374952820804612,-0.6608237681074631,0.9904551790816764,-0.919832804306532,1.0494079714465647,-0.9577730158802976,0.6805748345956615,-1.034996576752392,0.555175212445101,-1.0587023487061482
30,GAV191-6,-0.2905979374163436,-0.7800898882620584,-0.0659745543814825,1.2847635514394964,0.6956508404547033,1.4932809540927805,-0.3122347945294657,-0.1259380452267832,0.2180460920374144,0.1042807935419677,-0.8481554174982451,-1.3010299956639813,-0.404741879905958,-0.8538719643217619,-0.7696638709313626,1.906525024839986,1.836792176345962,1.1575778574611169,1.8593049371868016,-1.1695959111968055,-1.113973099522984,-0.7107210121110984,-0.6295067741627267,0.7552876444847227,-0.9095091355424246,0.7839798930183973,-0.9664593382099212,0.44488968746421,-1.1195428963015537,0.6681581220154403,-0.9621734363353566
31,PTI209,-0.5205422051166863,-0.2216407872266123,-0.0084929288552372,1.1835865799837104,1.0430685580939627,1.5703983148440857,0.0533664107678014,-0.2648502625114754,-0.0221498225780879,-0.0423269208518337,-0.6104048610296664,-1.2218487496163564,-0.2999303688299847,-0.6989700043360187,-0.3441853692132347,2.558699841035223,2.454201663442326,1.9951536094710889,2.492364162531422,-0.800928922867261,-0.7395528611278381,-0.6695059747763584,-0.6335506603373091,1.0867849878987756,-0.6089117271732905,0.8530477362762148,-0.8523566625037118,0.9776496911103308,-0.8045393139115085,1.1283614604573404,-0.5276838737728929
32,MDV85,1.0868878449623744,1.203915869521098,1.4706158853372062,2.5257405198259346,2.602500491950578,2.8973328652525216,-1.0375032738622647,-0.1253650480769461,0.1032655874183422,-0.0027051890301807,-0.0185739628799496,-2.0,-0.3656025098365956,-0.619788758288394,-2.0,4.231668523925003,4.4223135423996105,3.986413760696508,3.993478669775903,-1.2968853679253871,-1.2390407642847865,-0.5638014036612161,-0.4660025924492548,1.0620274156065506,-0.4394556836676649,0.8655474973775344,-0.6661667616674327,0.6344636609631941,-0.8855214349903784,1.0070704530197143,-0.4145285229227939
33,MTV261-13,-0.3511827377249756,-0.8613973596957967,-0.1367676364829983,1.2381361133310955,0.6578678940769728,1.4381426748441035,-1.143898828346233,-0.2979249573570524,0.2131434641073142,-0.0878039776203326,-1.286844148866073,-1.6989700043360183,-0.0358258441837713,-0.4089353929735008,-2.9384127397934705,0.308800987517141,0.9185198954492488,0.1109256674021392,0.8154623305041707,-1.263439788046762,-1.241627397791186,-0.8309169672426951,-0.6892646958286406,0.842969842979928,-0.8794543852284302,0.90786722324903,-1.0299644355458213,-0.1495839774222631,-1.197040566915651,0.5124205654316446,-0.9294044054938042
34,GAV274-6,-0.1187021335595549,-0.5981428639447741,0.1079018272215146,1.3329323233787345,0.8050325376904279,1.5474739078291513,-0.4132309748968102,-0.1270613583376817,0.3114077413900041,0.0465651345093055,-1.401894708595523,-1.6989700043360183,0.4362119210062201,-0.0087739243075051,-0.6248146707237182,1.62954564892274,0.8689089540389812,0.6700659404072681,1.2741757656149977,-1.143163556714496,-1.099146727730128,-0.7006293781811856,-0.6212737022541334,0.8694583036432777,-0.8734705680812422,0.8870665390448489,-0.9432228798965688,0.4849648932883672,-1.0689078439740654,0.6629752479622861,-0.9158055627114424
35,MTI260-13,-0.2060390446703814,-0.7224127667299333,4.923734105199024e-05,1.3104854818715015,0.7520714405425293,1.5063925527874331,-0.3164843248946332,-0.5783479093900464,-0.2103306504701392,-0.5581818962376105,-0.844988886175676,-1.045757490560675,-0.7221760304275175,-1.2218487496163564,-1.254222196596256,0.7186004207023646,0.6450213660199433,0.4372025804957409,0.6389227512743615,-1.1353751505756555,-1.102523548489743,-1.0028308937088426,-0.9062420587604676,0.6012284480557649,-0.9329659746165776,0.3242223134165002,-1.1708255509352972,0.5145455049105514,-1.1193660085130717,0.6198728409862647,-0.9352568288387024
36,MTI174-13,-0.0900184179200702,-0.6116221913386989,0.1050036669188934,0.7707548476100543,0.4768111491597111,0.9238790924412824,-0.651143374381244,-0.7851152649159703,-0.3883834146967457,-1.239152233268479,-0.736949067478083,-0.9586073148417747,-0.5647168891172389,-1.0969100130080562,-1.4644304236213783,1.048662804466883,1.0620194345939449,0.6998345353200688,1.0447459909823975,-1.1202052349057114,-1.0571428861365733,-0.9988972626781932,-0.9172551876292184,0.5135058590276325,-0.9091525613746038,0.0492267489518392,-1.136178420195838,0.4489753216993226,-1.0922258237373477,0.5431374245492709,-0.9013972705103346
37,PTI214,0.9575219264418368,0.4537821127936654,1.049766656911855,2.207113963917322,1.7493159731691268,2.212696038856385,0.206735624811792,0.0382027251120881,0.2389543090058475,0.1837544719479499,-0.6461054412455043,-0.8239087409443189,-0.9619982659926662,-1.522878745280338,-0.5804752162535018,2.4864836359105795,2.558671283554271,1.6274175420910333,2.536337603273925,-0.603967932812422,-0.6003973907886244,-0.5974229171223955,-0.5078870340563028,1.7346484897293533,-0.2974843137945666,1.4706586198035982,-0.6662900379666817,1.4745426835547837,-0.5637381965132267,1.8387298932234408,-0.2296709590529647
38,GAO357-2,-1.209646477076464,-1.0738624633898113,-0.756734798111047,0.594324788546201,0.8031078430738607,0.5624245630843301,-0.5125245970588703,0.0168775884185227,0.2714205931191966,0.0823840242939748,-0.736949067478083,-1.2218487496163564,-0.3169371725028373,-0.721246399047171,-1.7611494826273029,1.3018200985294843,0.1992547542428014,0.7549833209023962,0.9067077320665076,-1.013903446323554,-0.9967401830569088,-0.7620390025900552,-0.6198398788207243,0.938113372269054,-0.9179851022137664,1.0213171105872882,-0.9591572788526176,0.6683031228426242,-1.0161194246826442,0.5221745147826256,-1.0370636933326478
39,MTV16-13,-0.4777738249011822,-0.9547599156640824,-0.2430284127696806,0.9742823191071294,0.3980332199342483,1.1885011184932797,-0.2837454010658859,-0.752278315463432,-0.0005522800587805,-0.187112144124895,-1.2309750457971496,-2.000000000000001,-0.7591583507679615,-1.397940008672038,-0.9623581249505412,0.9903539198817566,0.6655357985312825,0.7921645045070981,0.7791002478789648,-1.2447518320003206,-1.211560412740353,-0.7771953830266821,-0.6935446816397509,0.5168528203833404,-0.9102532170102426,0.6986980885435182,-1.0300253584988603,0.6663401776819018,-1.1771898971827213,0.7802463891342155,-0.9508583861805192
